"Metabolite","Comparison","W","p_value","Higher"
"Path196","IL vs H",64,0.636950154335105,"H"
"Path197","IL vs H",71,0.976684748219713,"H"
"Path198","IL vs H",78,0.715049610182639,"H"
"Path199","IL vs H",18,0.00116190605907933,"H"
"Path200","IL vs H",51,0.241523787828809,"H"
"Path201","IL vs H",88,0.37768531105454,"IL"
"Path202","IL vs H",140,8.87522761260815e-06,"IL"
"Path203","IL vs H",130,0.000371280355127441,"IL"
"Path204","IL vs H",78,0.359317338329571,"H"
"Path205","IL vs H",100,0.113502327528441,"IL"
"Path206","IL vs H",47,0.159973019308058,"H"
"Path207","IL vs H",66,0.755284828242158,"H"
"Path208","IL vs H",80.5,0.621598018767458,"IL"
"Path209","IL vs H",66,0.755284828242158,"H"
"Path210","IL vs H",79,0.513856433533076,"H"
"Path211","IL vs H",135,0.000307114475347756,"IL"
"Path212","IL vs H",58,0.305559002929365,"H"
"Path213","IL vs H",142,2.95840920420272e-06,"IL"
"Path214","IL vs H",68,0.81628527854683,"H"
"Path215","IL vs H",61.5,0.491495332989279,"H"
"Path216","IL vs H",64,0.618596705395887,"H"
"Path217","IL vs H",60.5,0.449214230349308,"H"
"Path218","IL vs H",69,0.838945577582555,"H"
"Path219","IL vs H",121,0.00363662451426619,"IL"
"Path220","IL vs H",69,0.838945577582555,"H"
"Path221","IL vs H",61.5,0.491495332989279,"H"
"Path222","IL vs H",61.5,0.491495332989279,"H"
"Path223","IL vs H",78,0.359317338329571,"H"
"Path224","IL vs H",69,0.838945577582555,"H"
"Path225","IL vs H",67,0.765165830277374,"H"
"Path226","IL vs H",67,0.765165830277374,"H"
"Path227","IL vs H",67,0.765165830277374,"H"
"Path228","IL vs H",84,0.513722581093694,"IL"
"Path229","IL vs H",83,0.551167166391288,"IL"
"Path230","IL vs H",89,0.347357918699957,"IL"
"Path231","IL vs H",116,0.0100445388505693,"IL"
"Path232","IL vs H",90,0.0788056024469581,"H"
"Path233","IL vs H",46,0.121587244716875,"H"
"Path234","IL vs H",89,0.347357918699957,"IL"
"Path235","IL vs H",110,0.0284206976224744,"IL"
"Path236","IL vs H",73,0.977402191293698,"H"
"Path237","IL vs H",108,0.0402301460241255,"IL"
"Path238","IL vs H",90,0.0788056024469581,"H"
"Path239","IL vs H",90,0.0788056024469581,"H"
"Path240","IL vs H",90,0.0788056024469581,"H"
"Path241","IL vs H",90,0.0788056024469581,"H"
"Path242","IL vs H",75,0.88738593483512,"H"
"Path243","IL vs H",76,0.842835990231333,"H"
"Path244","IL vs H",96,0.178182027959925,"IL"
"Path245","IL vs H",98,0.143167775823584,"IL"
"Path246","IL vs H",73,0.977402191293698,"H"
"Path247","IL vs H",92,0.26566958415121,"IL"
"Path248","IL vs H",25,0.00555959049699795,"H"
"Path249","IL vs H",128,0.000656027241031952,"IL"
"Path250","IL vs H",100,0.113502327528441,"IL"
"Path251","IL vs H",96,0.0366874429478183,"H"
"Path252","IL vs H",70,0.932300503373326,"H"
"Path253","IL vs H",91,0.291342659225281,"IL"
"Path254","IL vs H",90,0.0788056024469581,"H"
"Path255","IL vs H",60,0.490740429408108,"H"
"Path256","IL vs H",85,0.458520815422142,"IL"
"Path257","IL vs H",62.5,0.603253001855345,"H"
"Path258","IL vs H",99,0.127687899662593,"IL"
"Path259","IL vs H",51,0.14062535003308,"H"
"Path260","IL vs H",78,0.359317338329571,"H"
"Path261","IL vs H",40,0.0683614406861143,"H"
"Path262","IL vs H",76,0.842835990231333,"H"
"Path263","IL vs H",96,0.178182027959925,"IL"
"Path264","IL vs H",90,0.0788056024469581,"H"
"Path265","IL vs H",90,0.0788056024469581,"H"
"Path266","IL vs H",19,0.00143260965713517,"H"
"Path267","IL vs H",27,0.00829316060168126,"H"
"Path268","IL vs H",27,0.00829316060168126,"H"
"Path269","IL vs H",61,0.485817671022751,"H"
"Path270","IL vs H",72,1,"H"
"Path271","IL vs H",61,0.485817671022751,"H"
"Path272","IL vs H",55,0.347357918699957,"H"
"Path273","IL vs H",62,0.589875732021377,"IL"
"Path274","IL vs H",118,0.00419295650031929,"IL"
"Path275","IL vs H",110,0.0246292670212928,"IL"
"Path276","IL vs H",90,0.0788056024469581,"H"
"Path277","IL vs H",30,0.0144925070890881,"H"
"Path278","IL vs H",43,0.100530442770314,"H"
"Path279","IL vs H",109,0.0332414254207228,"IL"
"Path280","IL vs H",105,0.0596570612050488,"IL"
"Path281","IL vs H",102,0.0887337860685552,"IL"
"Path282","IL vs H",101,0.0405132335960772,"IL"
"Path283","IL vs H",54,0.0788056024469581,"H"
"Path284","IL vs H",96,0.0366874429478183,"H"
"Path285","IL vs H",68,0.83916868672949,"H"
"Path286","IL vs H",60,0.166224591128354,"H"
"Path287","IL vs H",27,0.00929337562483826,"H"
"Path288","IL vs H",55,0.179790679486554,"H"
"Path289","IL vs H",38,0.0387440714577814,"H"
"Path290","IL vs H",78,0.359317338329571,"H"
"Path291","IL vs H",62,0.589875732021377,"H"
"Path292","IL vs H",71,0.977402191293698,"H"
"Path293","IL vs H",57,0.409510398068751,"H"
"Path294","IL vs H",60,0.458502305465244,"H"
"Path295","IL vs H",76,0.839825619710118,"H"
"Path296","IL vs H",67,0.798745338656498,"H"
"Path297","IL vs H",65,0.693119402410918,"H"
"Path298","IL vs H",72.5,1,"H"
"Path299","IL vs H",65,0.706233031232523,"H"
"Path300","IL vs H",96,0.178182027959925,"IL"
"Path301","IL vs H",42,0.0827118317530232,"H"
"Path302","IL vs H",83,0.539390201467856,"H"
"Path303","IL vs H",69,0.874990750368516,"H"
"Path304","IL vs H",78,0.359317338329571,"H"
"Path305","IL vs H",93,0.241523787828809,"IL"
"Path306","IL vs H",67,0.777038583673154,"H"
"Path307","IL vs H",24,0.00451305324101124,"H"
"Path308","IL vs H",52,0.26566958415121,"H"
"Path309","IL vs H",60,0.485062562022296,"H"
"Path310","IL vs H",60,0.513722581093694,"H"
"Path311","IL vs H",100,0.113502327528441,"IL"
"Path312","IL vs H",62,0.589875732021377,"H"
"Path313","IL vs H",104,0.0683614406861143,"IL"
"Path314","IL vs H",91,0.285057056321862,"IL"
"Path315","IL vs H",104,0.0683614406861143,"IL"
"Path316","IL vs H",135,7.17414232019159e-05,"IL"
"Path317","IL vs H",78,0.359317338329571,"H"
"Path318","IL vs H",78,0.359317338329571,"H"
"Path319","IL vs H",84,0.166224591128354,"H"
"Path320","IL vs H",76,0.809728459914703,"H"
"Path321","IL vs H",1,4.67706587118562e-05,"H"
"Path322","IL vs H",135.5,0.0001014923761857,"IL"
"Path323","IL vs H",51,0.241523787828809,"H"
"Path324","IL vs H",94.5,0.174665668662147,"IL"
"Path325","IL vs H",118,0.00847158263159051,"IL"
"Path326","IL vs H",87,0.409510398068751,"IL"
"Path327","IL vs H",78,0.359317338329571,"H"
"Path328","IL vs H",25,0.00555959049699795,"H"
"Path329","IL vs H",83,0.533495368853226,"IL"
"Path330","IL vs H",52,0.112900304782481,"H"
"Path331","IL vs H",109,0.0332414254207228,"IL"
"Path332","IL vs H",100,0.113502327528441,"IL"
"Path333","IL vs H",56,0.37768531105454,"H"
"Path334","IL vs H",73,0.972560877515493,"H"
"Path335","IL vs H",40.5,0.0713001248173041,"H"
"Path336","IL vs H",108,0.0387211388692073,"IL"
"Path337","IL vs H",74,0.932300503373326,"H"
"Path338","IL vs H",78,0.359317338329571,"H"
"Path339","IL vs H",78,0.359317338329571,"H"
"Path340","IL vs H",132,0.000125308727883931,"IL"
"Path341","IL vs H",83,0.551167166391288,"IL"
"Path342","IL vs H",79,0.513856433533076,"H"
"Path343","IL vs H",84,0.166224591128354,"H"
"Path344","IL vs H",62,0.589875732021377,"H"
"Path345","IL vs H",78,0.359317338329571,"H"
"Path346","IL vs H",98.5,0.130364971550401,"IL"
"Path347","IL vs H",4,8.59730100150835e-05,"H"
"Path348","IL vs H",66,0.359317338329571,"H"
"Path349","IL vs H",95.5,0.0808823234464803,"H"
"Path350","IL vs H",106.5,0.0193369725358358,"IL"
"Path351","IL vs H",33.5,0.0270485161165312,"H"
"Path352","IL vs H",65,0.712535075639127,"H"
"Path353","IL vs H",71.5,1,"H"
"Path354","IL vs H",68,0.842835990231333,"H"
"Path355","IL vs H",66,0.580669526385976,"H"
"Path356","IL vs H",125,0.00143260965713517,"IL"
"Path357","IL vs H",118,0.00419295650031929,"IL"
"Path358","IL vs H",141,7.12246599547437e-05,"IL"
"Path359","IL vs H",42,0.0887337860685552,"H"
"Path360","IL vs H",75,0.88738593483512,"H"
"Path361","IL vs H",92,0.26566958415121,"IL"
"Path362","IL vs H",43,0.100530442770314,"H"
"Path363","IL vs H",76,0.82149878038964,"IL"
"Path364","IL vs H",129.5,0.000912422016673009,"IL"
"Path365","IL vs H",100,0.0993683720971679,"IL"
"Path366","IL vs H",76,0.839825619710118,"H"
"Path367","IL vs H",125.5,0.00149321979567121,"IL"
"Path368","IL vs H",78,0.359317338329571,"H"
"Path369","IL vs H",78,0.359317338329571,"H"
"Path370","IL vs H",117,0.00829316060168126,"IL"
"Path371","IL vs H",89,0.347357918699957,"IL"
"Path372","IL vs H",74,0.932300503373326,"H"
"Path373","IL vs H",101,0.0910032404993264,"IL"
"Path374","IL vs H",28,0.0105085197194749,"H"
"Path375","IL vs H",52,0.26566958415121,"H"
"Path376","IL vs H",94,0.218920801906399,"IL"
"Path377","IL vs H",125.5,0.00149321979567121,"IL"
"Path378","IL vs H",92,0.219779412589924,"IL"
"Path379","IL vs H",78,0.359317338329571,"H"
"Path380","IL vs H",75,0.88738593483512,"H"
"Path381","IL vs H",82,0.589875732021377,"H"
"Path382","IL vs H",75,0.88738593483512,"H"
"Path383","IL vs H",80,0.670659532955939,"H"
"Path384","IL vs H",93,0.241523787828809,"IL"
"Path385","IL vs H",79,0.513856433533076,"H"
"Path386","IL vs H",62,0.589875732021377,"H"
"Path387","IL vs H",24,0.00451305324101124,"H"
"Path388","IL vs H",110,0.0284206976224744,"IL"
"Path389","IL vs H",74,0.932300503373326,"H"
"Path390","IL vs H",78,0.359317338329571,"H"
