"Metabolite","p_value"
"Path235",0.772946550447536
"Path236",0.364319948835357
"Path237",0.366570810784106
"Path238",0.51911982656372
"Path239",0.51911982656372
"Path240",0.52788184534847
"Path241",0.528261314414914
"Path242",0.185510077089177
"Path243",0.262153554021162
"Path244",0.174881247401527
"Path245",0.177607031713768
"Path246",0.199701325027503
"Path247",0.16589655117677
"Path248",0.351522419388068
"Path249",0.337871183532972
"Path250",0.252621735942844
"Path251",0.345292969918936
"Path252",0.623572988000122
"Path253",0.231475822666704
"Path254",0.51911982656372
"Path255",0.397107348918711
"Path256",0.404803232103406
"Path257",0.28061834822987
"Path258",0.0298371978239314
"Path259",0.586074617465697
"Path260",0.413251914062459
"Path261",0.474115257367326
"Path262",0.262153554021162
"Path263",0.405714395049212
"Path264",0.300431434154129
"Path265",0.301865989030103
"Path266",0.340013527645495
"Path267",0.51341513695898
"Path268",0.651587881582664
"Path269",0.47355679564686
"Path270",0.385128808132714
"Path271",0.516630320101182
"Path272",0.0781110598648928
"Path273",0.807126182685792
"Path274",0.843181565978487
"Path275",0.143835395913969
"Path276",0.464876286754273
"Path277",0.21423886686595
"Path278",0.159199905814784
"Path279",0.306156177565822
"Path280",0.294865282839364
"Path281",0.260332846218708
"Path282",0.506641951911129
"Path283",0.668247175837858
"Path284",0.389013992021318
"Path285",0.241768211167673
"Path286",0.560842294388396
"Path287",0.64493272517215
"Path288",0.74122437536045
"Path289",0.946510159377559
"Path290",0.41325191406246
"Path291",0.116461855774093
"Path292",0.770640263062422
"Path293",0.0834704026199739
"Path294",0.494664069898805
"Path295",0.466321513491305
"Path296",0.4939535129144
"Path297",0.266765360069457
"Path298",0.347978386253744
"Path299",0.693237531898218
"Path300",0.919396138370229
"Path301",0.544138071835605
"Path302",0.654341425936173
"Path303",0.481824094159369
"Path304",0.41325191406246
"Path305",0.253745646824028
"Path306",0.501107043113463
"Path307",0.165016090249381
"Path308",0.149872557821234
"Path309",0.465375933289598
"Path310",0.534650576953298
"Path311",0.263818873099863
"Path312",0.334508740517262
"Path313",0.747086912139886
"Path314",0.902419641966343
"Path315",0.280486149145556
"Path316",0.380460641274059
"Path317",0.41325191406246
"Path318",0.41325191406246
"Path319",0.57077240513226
"Path320",0.390486083963536
